2026-09-13 17:11:22.516 DEBUG  ShapeSearchTree45Degree.restrain_shape: shapeToBeContained is empty
2026-09-13 17:11:22.516 DEBUG  ShapeSearchTree45Degree.restrain_shape: shapeToBeContained is empty
2026-09-13 17:11:22.516 DEBUG  ShapeSearchTree45Degree.restrain_shape: shapeToBeContained is empty
2026-09-13 17:11:22.762 DEBUG  FoundConnectionInserter: insert trace failed for net #4 at corner 6/12 on layer 1, trace width: 1000, from corner: 5, okPoint: (764212,-746776), target: (758005,-752983)
2026-09-13 17:11:22.946 DEBUG  FoundConnectionInserter: insert trace failed for net #22 at corner 3/3 on layer 1, trace width: 1000, from corner: 2, okPoint: (258998,-792498), target: (260750,-794250)
2026-09-13 17:11:22.949 DEBUG  FoundConnectionInserter: insert trace failed for net #22 at corner 3/3 on layer 1, trace width: 1000, from corner: 2, okPoint: (258998,-792498), target: (260750,-794250)
2026-09-13 17:11:22.957 DEBUG  FoundConnectionInserter: insert trace failed for net #22 at corner 2/2 on layer 1, trace width: 1000, from corner: 1, okPoint: (219650,-753150), target: (260750,-794250)
2026-09-13 17:11:23.026 DEBUG  ShapeSearchTree45Degree.restrain_shape: shapeToBeContained is empty
2026-09-13 17:11:24.267 INFO   [D6AD11\D1D462] Fanout pass #1 on board '82eb488bef615e3851c38384092462ff' completed in 2.61 seconds with 123 SMD pins fanouted, 3 not routed, 0 insert errors, +78 extra vias (0 SMD pins still to check in pass, ripup costs=100).
2026-09-13 17:11:24.700 DEBUG  FoundConnectionInserter: insert trace failed for net #6 at corner 15/15 on layer 1, trace width: 1000, from corner: 4, okPoint: (670359,-541631), target: (659000,-511000)
2026-09-13 17:11:25.906 INFO   [D6AD11\D1D462] Fanout pass #2 on board 'fc889609e88ff3d613f18e84ccfe396b' completed in 1.63 seconds with 13 SMD pins fanouted, 2 not routed, 0 insert errors, +5 extra vias (0 SMD pins still to check in pass, ripup costs=200).
2026-09-13 17:11:27.303 INFO   [D6AD11\D1D462] Fanout pass #3 on board 'e4041b4521e8181d0f1d10fcd27bc80d' completed in 1.39 seconds with 3 SMD pins fanouted, 2 not routed, 0 insert errors, +3 extra vias (0 SMD pins still to check in pass, ripup costs=300).
2026-09-13 17:11:28.687 INFO   [D6AD11\D1D462] Fanout pass #4 on board 'e4041b4521e8181d0f1d10fcd27bc80d' completed in 1.38 seconds with 0 SMD pins fanouted, 2 not routed, 0 insert errors, +0 extra vias (0 SMD pins still to check in pass, ripup costs=400).
2026-09-13 17:11:29.051 INFO   [D6AD11\D1D462] Fanout stage completed: started with 201 total SMD pins, completed in 7.41 seconds, escaped pins: 197/201 (98.0%), using 7.76 total CPU seconds, 44.23 GB total allocated, and 525.8 MB peak heap usage.
2026-09-13 17:11:29.067 INFO   [D6AD11\D1D462] Auto-routing stage started on board 'e4041b4521e8181d0f1d10fcd27bc80d' for 52 unrouted items.
2026-09-13 17:11:29.874 DEBUG  Queuing item for routing: PolylineTrace on net 'EN' (connected: 6/18)
2026-09-13 17:11:29.879 DEBUG  Queuing item for routing: PolylineTrace on net 'BOOT_n' (connected: 6/13)
2026-09-13 17:11:29.879 DEBUG  Queuing item for routing: Pin on net 'EPD_VGL' (connected: 3/9)
2026-09-13 17:11:29.879 DEBUG  Queuing item for routing: Pin on net 'EPD_VSL' (connected: 3/6)
2026-09-13 17:11:29.879 DEBUG  Queuing item for routing: Pin on net 'EPD_VGH' (connected: 3/9)
2026-09-13 17:11:29.879 DEBUG  Queuing item for routing: Pin on net 'EPD_VSH1' (connected: 4/7)
2026-09-13 17:11:29.879 DEBUG  Queuing item for routing: Pin on net 'EPD_VCI' (connected: 7/17)
2026-09-13 17:11:29.880 DEBUG  Queuing item for routing: Pin on net 'EPD_MOSI' (connected: 4/8)
2026-09-13 17:11:29.880 DEBUG  Queuing item for routing: Pin on net 'EPD_SCK' (connected: 3/8)
2026-09-13 17:11:29.880 DEBUG  Queuing item for routing: Pin on net 'EPD_CS' (connected: 3/8)
2026-09-13 17:11:29.880 DEBUG  Queuing item for routing: Pin on net 'EPD_DC' (connected: 3/8)
2026-09-13 17:11:29.880 DEBUG  Queuing item for routing: Pin on net 'EPD_RST' (connected: 3/8)
2026-09-13 17:11:29.880 DEBUG  Queuing item for routing: Pin on net 'EPD_BUSY' (connected: 3/8)
2026-09-13 17:11:29.880 DEBUG  Queuing item for routing: Pin on net 'EPD_VSH2' (connected: 5/8)
2026-09-13 17:11:29.880 DEBUG  Queuing item for routing: Pin on net 'EPD_RESE' (connected: 3/8)
2026-09-13 17:11:29.880 DEBUG  Queuing item for routing: Pin on net 'EPD_GDR' (connected: 4/7)
2026-09-13 17:11:29.880 DEBUG  Queuing item for routing: Pin on net '+3V3' (connected: 6/48)
2026-09-13 17:11:29.880 DEBUG  Queuing item for routing: Pin on net 'NFC_GPO' (connected: 4/10)
2026-09-13 17:11:29.880 DEBUG  Queuing item for routing: Pin on net 'I2C_SCL' (connected: 4/13)
2026-09-13 17:11:29.880 DEBUG  Queuing item for routing: Pin on net 'I2C_SDA' (connected: 5/15)
2026-09-13 17:11:29.881 DEBUG  Queuing item for routing: Pin on net 'NFC_AC1' (connected: 7/10)
2026-09-13 17:11:29.881 DEBUG  Queuing item for routing: Pin on net 'NFC_VEH' (connected: 8/11)
2026-09-13 17:11:29.881 DEBUG  Queuing item for routing: Pin on net 'VBAT' (connected: 3/24)
2026-09-13 17:11:29.881 DEBUG  Queuing item for routing: Pin on net 'EPD_VCI' (connected: 3/17)
2026-09-13 17:11:29.881 DEBUG  Queuing item for routing: Pin on net 'NFC_VEH' (connected: 3/11)
2026-09-13 17:11:29.881 DEBUG  Queuing item for routing: Pin on net '+3V3' (connected: 3/48)
2026-09-13 17:11:29.881 DEBUG  Queuing item for routing: Pin on net 'VBAT' (connected: 3/24)
2026-09-13 17:11:29.881 DEBUG  Queuing item for routing: Pin on net 'LED_STAT_n' (connected: 3/7)
2026-09-13 17:11:29.881 DEBUG  Queuing item for routing: Pin on net 'CHRG_STAT' (connected: 3/7)
2026-09-13 17:11:29.882 DEBUG  Queuing item for routing: Pin on net 'EPD_VGH' (connected: 3/9)
2026-09-13 17:11:29.882 DEBUG  Queuing item for routing: Pin on net 'EPD_PUMP' (connected: 6/9)
2026-09-13 17:11:29.882 DEBUG  Queuing item for routing: Pin on net 'EPD_VGL' (connected: 3/9)
2026-09-13 17:11:29.882 DEBUG  Queuing item for routing: Pin on net 'NFC_AC1' (connected: 1/10)
2026-09-13 17:11:29.882 DEBUG  Queuing item for routing: Pin on net 'NFC_AC1' (connected: 2/10)
2026-09-13 17:11:29.882 DEBUG  Queuing item for routing: Pin on net '+3V3' (connected: 12/48)
2026-09-13 17:11:29.882 DEBUG  Queuing item for routing: Pin on net 'VBAT' (connected: 13/24)
2026-09-13 17:11:29.882 DEBUG  Queuing item for routing: Pin on net 'VBUS' (connected: 3/21)
2026-09-13 17:11:29.882 DEBUG  Queuing item for routing: Pin on net 'VBAT' (connected: 5/24)
2026-09-13 17:11:29.882 DEBUG  Queuing item for routing: Pin on net 'CHRG_STAT' (connected: 4/7)
2026-09-13 17:11:29.882 DEBUG  Queuing item for routing: Pin on net 'EPD_RST' (connected: 5/8)
2026-09-13 17:11:29.883 DEBUG  Queuing item for routing: Pin on net 'EPD_DC' (connected: 5/8)
